p_physical,E_QEC_J,passive_wins
1.1411e-05,2.3013e-15,1
1.4603e-03,1.6798e+20,1
4.8639e-04,7.4053e-16,1
3.5290e-03,inf,1
2.3560e-04,9.3779e-16,1
4.2216e-03,inf,1
7.0709e-05,1.4077e-15,1
8.0979e-05,1.3499e-15,1
1.2821e-04,1.1634e-15,1
5.8396e-03,inf,1
3.8101e-05,1.6861e-15,1
2.0339e-04,9.9002e-16,1
1.7389e-05,2.0755e-15,1
6.5802e-05,1.4388e-15,1
7.4447e-04,2.0107e-15,1
1.6716e-05,2.0961e-15,1
2.8853e-03,inf,1
1.8959e-05,2.0306e-15,1
6.3324e-04,9.2804e-16,1
8.0279e-04,4.4812e-15,1
7.7452e-04,2.9088e-15,1
6.9416e-04,1.2849e-15,1
2.4920e-04,9.1827e-16,1
1.8211e-04,1.0303e-15,1
5.4229e-03,inf,1
3.9959e-04,7.7038e-16,1
4.1857e-03,inf,1
4.2928e-05,1.6304e-15,1
3.6708e-05,1.7037e-15,1
8.8025e-04,2.4897e-14,1
6.7486e-03,inf,1
1.5521e-04,1.0899e-15,1
1.1223e-04,1.2160e-15,1
8.3468e-03,inf,1
6.0647e-05,1.4744e-15,1
5.7000e-05,1.5019e-15,1
9.5416e-04,3.3283e-13,1
1.8564e-04,1.0232e-15,1
2.2275e-03,inf,1
1.4172e-05,2.1837e-15,1
4.0262e-04,7.6853e-16,1
6.4290e-04,9.6487e-16,1
7.8019e-05,1.3657e-15,1
1.1243e-04,1.2153e-15,1
1.2898e-05,2.2344e-15,1
9.1521e-03,inf,1
6.4389e-03,inf,1
5.1088e-05,1.5509e-15,1
1.4439e-05,2.1737e-15,1
3.4849e-05,1.7284e-15,1
1.1496e-04,1.2064e-15,1
1.6040e-03,8.9621e+43,1
8.6419e-04,1.6209e-14,1
2.1652e-04,9.6762e-16,1
2.0024e-04,9.9565e-16,1
6.8341e-04,1.1951e-15,1
2.5240e-03,inf,1
3.3031e-05,1.7540e-15,1
7.6513e-05,1.3739e-15,1
4.6598e-05,1.5927e-15,1
9.0333e-04,4.9857e-14,1
7.2633e-05,1.3961e-15,1
1.7429e-05,2.0743e-15,1
2.6885e-03,inf,1
1.5539e-03,4.2670e+34,1
3.6579e-05,1.7053e-15,1
4.3855e-03,inf,1
1.8241e-04,1.0296e-15,1
1.2039e-03,2.7047e-04,1
2.6041e-03,inf,1
1.8335e-05,2.0479e-15,1
7.6872e-03,inf,1
2.6757e-05,1.8565e-15,1
3.3138e-05,1.7524e-15,1
2.8060e-05,1.8331e-15,1
4.7983e-04,7.4077e-16,1
1.3453e-03,1.2185e+07,1
4.6159e-04,7.4346e-16,1
2.8939e-05,1.8180e-15,1
6.4253e-03,inf,1
6.6895e-05,1.4316e-15,1
2.7568e-04,8.8380e-16,1
1.4622e-03,2.9714e+20,1
2.2699e-05,1.9387e-15,1
7.6337e-05,1.3749e-15,1
1.6459e-03,4.8757e+52,1
7.4984e-05,1.3825e-15,1
1.6321e-03,4.9859e+49,1
7.8032e-04,3.1557e-15,1
1.5110e-05,2.1495e-15,1
3.6723e-04,7.9299e-16,1
8.5577e-03,inf,1
4.0835e-04,7.6517e-16,1
2.0206e-04,9.9239e-16,1
3.8575e-03,inf,1
